iter	Passed	Remaining
0	184	18249
1	208	10218
2	229	7436
3	251	6026
4	273	5194
5	294	4612
6	315	4196
7	338	3897
8	359	3630
9	379	3414
10	398	3226
11	418	3071
12	441	2951
13	463	2844
14	484	2745
15	507	2664
16	528	2578
17	550	2509
18	574	2448
19	598	2394
20	621	2338
21	642	2277
22	662	2217
23	688	2180
24	714	2143
25	740	2108
26	764	2067
27	788	2027
28	814	1993
29	839	1958
30	862	1920
31	886	1883
32	910	1848
33	936	1817
34	957	1778
35	984	1749
36	1012	1723
37	1039	1695
38	1065	1665
39	1096	1644
40	1122	1615
41	1148	1586
42	1175	1557
43	1200	1527
44	1227	1500
45	1253	1472
46	1276	1439
47	1303	1412
48	1329	1383
49	1355	1355
50	1386	1331
51	1411	1302
52	1438	1275
53	1466	1249
54	1491	1220
55	1521	1195
56	1547	1167
57	1574	1140
58	1600	1112
59	1626	1084
60	1654	1057
61	1680	1029
62	1707	1002
63	1736	976
64	1761	948
65	1789	921
66	1815	894
67	1843	867
68	1868	839
69	1893	811
70	1922	785
71	1948	757
72	1977	731
73	2006	705
74	2032	677
75	2058	649
76	2083	622
77	2110	595
78	2136	568
79	2162	540
80	2185	512
81	2212	485
82	2239	458
83	2265	431
84	2290	404
85	2317	377
86	2347	350
87	2375	323
88	2403	297
89	2428	269
90	2454	242
91	2477	215
92	2503	188
93	2529	161
94	2557	134
95	2583	107
96	2607	80
97	2631	53
98	2658	26
99	2683	0
