Model,Val ROC AUC,Train Time (s)
XGBoost,0.7851987988222913,37.00581884384155
LightGBM,0.7838909153490402,10.652054786682129
Ensemble: Meta Stacking,0.7836740340614162,
Ensemble: Top Trees Blend,0.782761444797512,
Ensemble: Average Blend,0.7803646039450443,
TabTransformer,0.7654803476470137,457.43608951568604
MLP (SSL Pretrained),0.7653299635351168,98.62190389633179
MLP (From Scratch),0.7645067258990799,36.61142134666443
Regressão Logística,0.7571635678052996,3.593630313873291
CatBoost,0.75645942767436,3.0052592754364014
