,0
EXT_SOURCE_2,0.32137707
EXT_SOURCE_3,0.30721107
EXT_SOURCE_1,0.15117899
INST_DPD_MEAN,0.14835407
POS_CNT_INSTALMENT_FUTURE_MEAN,0.132773
AMT_GOODS_PRICE,0.12629084
PAYMENT_RATE,0.12509748
CODE_GENDER,0.119049676
DAYS_EMPLOYED,0.1034971
AMT_ANNUITY,0.10288813
POS_LOAN_COUNT,0.09397952
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,0.08257744
OWN_CAR_AGE,0.08244192
POS_MONTHS_BALANCE_MAX,0.08231632
NAME_EDUCATION_TYPE,0.08100413
INST_AMT_PAYMENT_SUM,0.06952419
PREV_AMT_ANNUITY_MEAN,0.067455634
AMT_CREDIT,0.0638181
PREV_LOAN_COUNT,0.061622605
PREV_AMT_CREDIT_MAX,0.059194844
NAME_FAMILY_STATUS,0.059068877
INST_AMT_PAYMENT_MEAN,0.05498222
PREV_DAYS_DECISION_MEAN,0.054448456
BUREAU_DAYS_CREDIT_MEAN,0.054268233
DAYS_BIRTH,0.050133687
DAYS_ID_PUBLISH,0.0497325
PREV_RATE_DOWN_PAYMENT_MEAN,0.04666352
ORGANIZATION_TYPE,0.04411954
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,0.04248939
ANNUITY_INCOME_PERC,0.040292896
